t,SGD (0.001),SGD (0.005),SGD (0.01),SGD (0.05),SGD (0.1),SGD (0.5),SGD (1.0),SGD (5.0),SGD (10.0),AdaGrad (0.001),AdaGrad (0.005),AdaGrad (0.01),AdaGrad (0.05),AdaGrad (0.1),AdaGrad (0.5),AdaGrad (1.0),AdaGrad (5.0),AdaGrad (10.0),Adam (0.001),Adam (0.005),Adam (0.01),Adam (0.05),Adam (0.1),Adam (0.5),Adam (1.0),Adam (5.0),Adam (10.0),NAG (0.001),NAG (0.005),NAG (0.01),NAG (0.05),NAG (0.1),NAG (0.5),NAG (1.0),NAG (5.0),NAG (10.0),Orabona (0.001),Orabona (0.005),Orabona (0.01),Orabona (0.05),Orabona (0.1),Orabona (0.5),Orabona (1.0),Orabona (5.0),Orabona (10.0),ScInOL_1,ScInOL_2,SGD (0.001) 0/1,SGD (0.005) 0/1,SGD (0.01) 0/1,SGD (0.05) 0/1,SGD (0.1) 0/1,SGD (0.5) 0/1,SGD (1.0) 0/1,SGD (5.0) 0/1,SGD (10.0) 0/1,AdaGrad (0.001) 0/1,AdaGrad (0.005) 0/1,AdaGrad (0.01) 0/1,AdaGrad (0.05) 0/1,AdaGrad (0.1) 0/1,AdaGrad (0.5) 0/1,AdaGrad (1.0) 0/1,AdaGrad (5.0) 0/1,AdaGrad (10.0) 0/1,Adam (0.001) 0/1,Adam (0.005) 0/1,Adam (0.01) 0/1,Adam (0.05) 0/1,Adam (0.1) 0/1,Adam (0.5) 0/1,Adam (1.0) 0/1,Adam (5.0) 0/1,Adam (10.0) 0/1,NAG (0.001) 0/1,NAG (0.005) 0/1,NAG (0.01) 0/1,NAG (0.05) 0/1,NAG (0.1) 0/1,NAG (0.5) 0/1,NAG (1.0) 0/1,NAG (5.0) 0/1,NAG (10.0) 0/1,Orabona (0.001) 0/1,Orabona (0.005) 0/1,Orabona (0.01) 0/1,Orabona (0.05) 0/1,Orabona (0.1) 0/1,Orabona (0.5) 0/1,Orabona (1.0) 0/1,Orabona (5.0) 0/1,Orabona (10.0) 0/1,ScInOL_1 0/1,ScInOL_2 0/1
50,45.60131467692721,222.38872126452475,435.78890184684286,2179.1643575661583,4358.328477641105,21791.642009301326,43583.28399347114,217916.4199273528,435832.83985146775,0.6531983572931725,0.7979802215588889,1.1401135542529663,5.092250424232862,10.788992278819986,48.14144134891127,98.3883555420035,491.948030524686,983.8955283737034,0.7946068136807469,1.9308073995153041,3.9058987419294793,21.413096198546516,41.33506330177891,211.09756671663067,411.4151024215304,2050.7244168601255,4099.2179472454745,0.6909369935147415,0.6823104821991721,0.6719979889114104,0.6058992726196293,0.5531046119781096,0.4716396893034771,0.56148500645721,2.1378675875078796,4.267103789033424,0.6930197887493847,0.692510967337315,0.6918766163376313,0.6868683731688964,0.6807721813576835,0.6380631902953856,0.5973349892693569,0.4861390251128409,0.5056097867544309,0.6821170310996971,0.5656416441912369,0.43431700000000006,0.43915,0.43723799999999996,0.43725499999999995,0.43725499999999995,0.43725499999999995,0.43725499999999995,0.43725499999999995,0.43725499999999995,0.38030600000000003,0.3840019999999999,0.39224899999999996,0.397536,0.411754,0.40413499999999997,0.40607699999999997,0.40620599999999996,0.40620599999999996,0.379593,0.38794,0.402998,0.400258,0.39765100000000003,0.40144,0.40040499999999996,0.40577499999999994,0.40563899999999997,0.245551,0.244978,0.244212,0.23834000000000005,0.23257999999999995,0.22837100000000002,0.241721,0.26346200000000003,0.264923,0.23986400000000002,0.239829,0.23978000000000002,0.23947,0.23907099999999998,0.23620100000000002,0.23352199999999995,0.23120700000000002,0.242185,0.26726,0.23947
100,30.117568961547544,157.06246125809824,364.32833713234197,1822.035136250169,3656.746848654696,18764.077381164458,37560.3340469326,187804.69043712487,375609.3808720383,0.6386532886755238,0.7093854127244189,0.9003564582822235,3.4349099547858897,6.728412540422863,33.617397821574954,73.16014308870929,288.33406918498514,576.8311169440503,0.833287351781699,2.2520344725525385,4.488306456533251,24.495936925166994,48.38121746100048,293.16851003742875,468.20157235455554,2650.2400368587873,5295.52505912666,0.689790997334955,0.6767879244157864,0.661451837073141,0.5689974740107246,0.5023051774608236,0.3927934443762548,0.4199027399412884,1.3319813703757686,2.638569131811633,0.6929689435271947,0.6922572570475357,0.6913704833089673,0.684388798621668,0.6759386011578867,0.6184164501487588,0.5666876232352456,0.43743789972671426,0.4286432783595503,0.6832402039722567,0.5396383646270315,0.451454,0.436266,0.44195599999999996,0.4421989999999999,0.4312539999999999,0.43890299999999993,0.43887199999999993,0.4388679999999999,0.4388679999999999,0.3590859999999999,0.354033,0.3686789999999999,0.38977199999999995,0.39679,0.397104,0.410881,0.3824,0.38227599999999995,0.37627599999999994,0.393622,0.384932,0.39671199999999995,0.40595300000000006,0.40795899999999996,0.39133999999999997,0.406035,0.4059799999999999,0.202165,0.20129900000000003,0.20032799999999998,0.192776,0.18639400000000003,0.182154,0.18987899999999996,0.20803699999999997,0.210419,0.199835,0.199817,0.199785,0.199477,0.19906800000000002,0.19621499999999997,0.193513,0.19470400000000002,0.20401999999999995,0.22822799999999996,0.20448500000000003
150,30.910720095217194,150.9830636655911,289.8823570784675,1549.161449729453,2855.0859765976393,15138.816457892059,30320.552409612934,151608.95269682026,303217.90539054695,0.6470845573745062,0.7134446527999282,0.856225457012856,2.677716128916856,5.399077010517396,27.749990032736527,55.49643559522805,252.77399404239418,508.5434190484593,0.8832443507520376,2.9628840628672055,5.318191019812618,22.422488601135555,51.976123958426605,286.5056487555631,595.4199359085034,3256.2835114923782,6483.297612267126,0.6889633795444019,0.6728376300202663,0.6539987816413848,0.5451309390339599,0.4720339925850843,0.36230198524377444,0.38031481393018607,1.0868251472222212,2.267995750136891,0.6929347305523064,0.6920865955640416,0.6910301669834722,0.6827271036148288,0.6727129256271788,0.6057274881120647,0.5475128767549009,0.40715933869449855,0.3853173046828981,0.6836228571125299,0.5277271792725013,0.474565,0.4665519999999999,0.46142000000000005,0.46349,0.445213,0.455387,0.4555910000000001,0.4556000000000001,0.4556000000000001,0.36390500000000003,0.369563,0.37766200000000005,0.395432,0.39036400000000004,0.398263,0.40570500000000004,0.39848300000000003,0.40340300000000007,0.38823399999999997,0.41771699999999995,0.40521799999999997,0.40469999999999995,0.40828099999999995,0.41856800000000005,0.41842700000000005,0.423205,0.42312400000000006,0.18093399999999998,0.180029,0.178774,0.170929,0.16489,0.164703,0.17207100000000003,0.18714799999999998,0.19445500000000002,0.182206,0.18217199999999997,0.182142,0.181803,0.181302,0.178197,0.17586300000000002,0.17454,0.178923,0.221808,0.19089100000000003
200,22.049486757787527,91.67354824788876,251.80050468068302,1198.369060724816,2383.2078375586616,13003.261728693815,26045.599205093553,130233.92101569784,260467.8420271598,0.6282803111266841,0.6523169591935357,0.7618816016867782,2.179429937397157,4.4592362147966025,23.00281472082289,45.69239096237769,175.70566727023842,380.24380491223235,0.839201510798339,2.9364416974393466,5.894497181358384,30.720923582028046,53.58890986705427,264.80011037463686,593.0110824724593,2381.660935639986,4554.627969050913,0.6883057055944573,0.6697273307517203,0.6481982574652171,0.528087086289361,0.4521345202549686,0.34843365422353256,0.3724736402698879,1.0592755198492931,2.0342053733626573,0.69291292201725,0.6919778372064485,0.6908133594138874,0.6816710941819175,0.6706692238660745,0.5978574280409624,0.5358505234052615,0.391623753928689,0.37132477048404267,0.683988657234867,0.5180181698784764,0.42531500000000005,0.41705499999999995,0.4322480000000001,0.43189400000000006,0.431203,0.43347100000000005,0.433521,0.4335240000000001,0.4335240000000001,0.3522679999999999,0.3535749999999999,0.37057100000000004,0.38944,0.38114400000000004,0.40695699999999996,0.400352,0.37406199999999995,0.38982500000000003,0.38569200000000003,0.41789000000000004,0.41184199999999993,0.418698,0.41097599999999995,0.38984699999999994,0.398631,0.409103,0.4053590000000001,0.169967,0.168729,0.167269,0.158577,0.153058,0.15712399999999999,0.16772199999999998,0.185752,0.18534199999999998,0.170085,0.170045,0.169982,0.16952899999999999,0.16898399999999997,0.16524699999999998,0.16217600000000001,0.16224900000000003,0.17006800000000002,0.21455000000000002,0.185108
250,15.723916503390466,77.15389799843874,173.24757579082524,738.3773127829229,1536.7340376195757,7944.55762173571,15929.633381923932,79653.95536501364,159307.91072472354,0.6201712033503526,0.6531028881268528,0.6969442638186989,1.4764458769012925,3.3635854926592805,16.45180376992073,32.0838300759775,141.36923852592514,298.1445357094216,0.8878265361242189,2.268101665542697,5.2868045042084,20.879793407311816,54.162304202202435,309.2553309463131,698.0367234063433,2548.4819667296993,4933.780753834495,0.6876748168616991,0.6667635348251493,0.6427186718225335,0.5130416983248139,0.43565759534419823,0.33910342913751435,0.3618912225909541,0.9722527432921598,1.8079830925764262,0.6928891260486028,0.6918591903009876,0.690576896312563,0.6805216672545621,0.6684507778631813,0.5895496411012856,0.524046295041261,0.3802910372143424,0.36197388080183757,0.683968125891072,0.5074964274137932,0.43919199999999997,0.44048600000000004,0.448881,0.44139799999999996,0.4440879999999999,0.448604,0.44887699999999997,0.44888399999999995,0.44888399999999995,0.34313099999999996,0.35291500000000003,0.352893,0.351071,0.355028,0.353857,0.377929,0.35583899999999996,0.361026,0.380445,0.37852099999999994,0.40259900000000004,0.38126899999999997,0.40296199999999993,0.40347900000000003,0.40595499999999995,0.398552,0.390841,0.160611,0.159474,0.15814699999999998,0.150341,0.146339,0.152812,0.162304,0.178184,0.174923,0.161585,0.16155199999999997,0.161513,0.16112299999999996,0.16065800000000002,0.157607,0.155426,0.15844,0.165665,0.207017,0.176633
300,21.43402077701662,100.1970022333761,208.552439955197,1127.7802376003567,2147.5885552889386,11087.627412836135,22189.74777841849,109159.0387595738,219071.2741167398,0.6219882312599332,0.6625182967758704,0.7664622943086706,2.167131890311581,4.139423326294344,18.98780912131419,43.611983789733856,211.8261239582173,447.77707121239825,0.7780083741718737,2.576265371721784,4.1216421714621685,25.938969535763675,53.04545339293643,266.2372638726387,540.0388671564532,2703.1989356092663,4959.237063070348,0.6870948866904965,0.6640626144973367,0.6377791808359833,0.5004047677954954,0.4222821738446047,0.32689204285859325,0.3451845348272463,0.8945969085846615,1.6851748234190893,0.692867317137903,0.691750494900113,0.6903603763081388,0.6794734669311182,0.6664380803222525,0.5823024557779755,0.5140925267818218,0.3679982405373057,0.3455288746889805,0.6838675320054429,0.4984768678316535,0.420313,0.417914,0.41957999999999995,0.422783,0.430886,0.42417800000000006,0.424083,0.42340099999999997,0.42383299999999996,0.348448,0.3466429999999999,0.35546500000000003,0.373239,0.3745919999999999,0.36175999999999997,0.382429,0.390489,0.385137,0.35569600000000007,0.38126000000000004,0.37494,0.382183,0.389066,0.3805299999999999,0.377474,0.374858,0.36828299999999997,0.15535400000000002,0.154171,0.15292,0.14499399999999996,0.141236,0.14648,0.154857,0.17089300000000002,0.16931200000000002,0.156819,0.15677200000000002,0.156723,0.156278,0.155685,0.152165,0.149784,0.15060800000000002,0.15577300000000002,0.202401,0.16904899999999998
350,17.825433538225887,98.62488187847494,155.96005183926798,762.965645680141,1499.0846407883148,7486.66946602331,15003.365552182673,72461.97943051349,147983.35694317188,0.614570275925106,0.6303068858652341,0.6919491278920875,1.829730031575026,3.3664795340895433,16.617022921828816,30.28388136401629,175.42821956976834,325.6684680125387,0.863642937348007,2.9635870191646374,5.488712310140051,28.589239255760088,70.21067576354808,281.51137081091525,510.29227153023203,2418.026765146982,5503.615605225621,0.6865485051876883,0.6615444382531658,0.633235722392637,0.4898234541409634,0.41173779104446406,0.3168530999292321,0.32787693619654745,0.7820430652029663,1.5510471029379078,0.6928473082842329,0.691650800531172,0.6901618603567368,0.6785153839350816,0.6646058844261854,0.5759340461386653,0.5056450151226027,0.3582510302280078,0.33361432337305863,0.6836603673022215,0.4894994464680485,0.398307,0.39943300000000004,0.405222,0.39501400000000003,0.39669299999999996,0.39482999999999996,0.395024,0.393769,0.39525699999999997,0.341212,0.33376799999999995,0.336044,0.353309,0.353787,0.355417,0.352416,0.35924600000000007,0.361152,0.37749900000000003,0.390646,0.397469,0.397375,0.409692,0.39973600000000004,0.396513,0.388194,0.39069699999999996,0.15185900000000002,0.150815,0.14945899999999995,0.141533,0.138107,0.140965,0.14738,0.160348,0.163523,0.15236000000000002,0.152309,0.152242,0.15182400000000001,0.151259,0.147709,0.145387,0.144449,0.14879099999999998,0.19746,0.16568
400,11.342192800004778,53.44214809527962,123.40675230928386,565.663513238462,915.3368998835422,5683.313314402357,11052.317247505704,49354.82796040324,105861.36961087224,0.611659147696493,0.6019456351485599,0.6367788632711447,1.3544564091560924,2.5453876973664165,11.77072313157395,25.717885694652143,134.6876877030466,212.0021205162972,0.7940549007833052,2.4503001021693884,5.3307804668077425,23.860147005396605,44.690409442914145,237.36197643111313,494.2064166467232,2325.5257592730018,4975.760793595106,0.6860629275354355,0.6593145373488619,0.6292296828683981,0.48068192348507505,0.4026563172986474,0.31057715355531446,0.32437735800292067,0.8051371241130105,1.5605791838882392,0.6928303938249853,0.6915665352823759,0.6899940955624126,0.6777067863860152,0.6630620833500857,0.5706322359558359,0.4987053728437066,0.3505476131503132,0.3247979475907098,0.6834441122776982,0.4813194573439149,0.397697,0.4033619999999999,0.413662,0.402264,0.39165199999999994,0.414682,0.415973,0.40008399999999994,0.400807,0.33740600000000004,0.319427,0.32731699999999997,0.3496410000000001,0.357945,0.33823800000000004,0.35909899999999995,0.36008300000000004,0.3444750000000001,0.369896,0.388471,0.387012,0.391284,0.389632,0.3821630000000001,0.40224400000000005,0.376479,0.381881,0.149577,0.14833400000000002,0.146762,0.13868,0.13489900000000002,0.137963,0.145095,0.162191,0.163752,0.150381,0.150325,0.15028099999999997,0.14986700000000003,0.149354,0.14566400000000002,0.142665,0.13995,0.14341,0.19634000000000001,0.162281
450,17.459630776298333,83.47944063537933,158.77906771063508,736.0828892304461,1409.9930608593427,8311.583291198602,16231.29940730083,79380.75535918992,160127.44937521682,0.608499435650025,0.6136408268928554,0.6651255962968621,1.4663080709848864,2.688094950247563,11.214808988080634,29.888131345885633,141.0664814305432,301.9658590599183,0.8378809699445247,2.3581340604730254,6.457639635567096,26.810406555099878,50.70058383398617,275.0531028980131,483.39745479476426,2453.9602365286055,4730.333443056698,0.6855858094607704,0.6571308650261797,0.6253240997430505,0.4720986531600329,0.39468151984225686,0.31078437767512124,0.3298713110352002,0.815454376042168,1.6101093422176913,0.6928136708602122,0.6914832399579939,0.6898283016806129,0.6769092699472846,0.6615434075488749,0.5655438632481468,0.49229777587048984,0.348144278252392,0.328624817501332,0.6831981278710139,0.4740359969145276,0.41907799999999995,0.4231,0.414307,0.41398,0.412762,0.4179450000000001,0.41309300000000004,0.411169,0.41210800000000003,0.332554,0.32418399999999997,0.33197199999999993,0.34151699999999996,0.34539500000000006,0.336086,0.361584,0.361416,0.355416,0.3664759999999999,0.38281099999999996,0.4015969999999999,0.367641,0.382254,0.38572199999999995,0.360998,0.3684870000000001,0.368628,0.14531999999999998,0.144125,0.142732,0.135438,0.13190600000000002,0.138656,0.147492,0.164344,0.166837,0.14621699999999999,0.14618599999999998,0.146147,0.14565699999999998,0.14512899999999998,0.141561,0.13886199999999999,0.13967100000000002,0.146869,0.19188600000000003,0.161319
500,11.662578251906904,66.1288716442793,135.05068796767983,647.5834220526659,1030.1945427230505,6666.127728551534,13204.1156259663,66633.89621674948,140838.63562982046,0.6101891374914632,0.6188358123192661,0.6422066556576891,1.1976266088923502,2.1145406391394013,12.914645898846711,24.90331394655517,104.85577194526539,228.79089023308106,0.8666182633575239,2.3220469945041606,4.989707253718919,29.748106331545245,41.318349391178614,253.27838536343666,545.485348189001,2088.1165553558185,4091.827268826729,0.6851285904327609,0.6550607517529086,0.6216743043917285,0.46497813306350616,0.388870595079826,0.31094638177880185,0.33118089712449666,0.8010651539585103,1.6774417615656716,0.692796531409943,0.6913978989093109,0.689658507928641,0.676095375801997,0.6600007729979016,0.5606079854099266,0.4865000136052509,0.34684312737024847,0.3290619808510176,0.6827116740323944,0.4663088386756959,0.39963399999999993,0.409574,0.404523,0.406095,0.408934,0.40756699999999996,0.40526,0.4070889999999999,0.40918099999999996,0.336294,0.333322,0.331012,0.334468,0.335872,0.34719300000000003,0.352726,0.346602,0.34692300000000004,0.36869599999999997,0.38851899999999995,0.388111,0.39308,0.366941,0.39871899999999993,0.392435,0.37128800000000006,0.376125,0.143317,0.142115,0.14079999999999998,0.133942,0.13138699999999998,0.139175,0.14766400000000002,0.16350899999999996,0.17106300000000002,0.14483600000000002,0.14481100000000002,0.144769,0.14436100000000002,0.14392899999999997,0.14083800000000002,0.138678,0.140642,0.14732499999999998,0.19373400000000002,0.159635
